key,value
"N",101
"Y","[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100]"
"armc.mass_kg",1500
"attr_options","[0.25 0.5 1]"
"axcolor","[0.05 0.08 0.12]"
"baseline_npv",-1.7135465127
"be_direct","zeros(1,0)"
"be_total","zeros(1,0)"
"can.total_mass_kg",5000
"can.shell_mass_kg",1500
"can.reo_payload_t",3.5
"can.earth_kg",28
"can_options","[73 28 8]"
"canisters_yr","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 44 55 67 83 102 125 154 189 233 286 334 389 453 528 616 718 837 976 1138 1327 1547 1803 2102 2451 2858 3206 3597 4036 4529 5081 5701 6397 7177 8053 9036 10138 11375 12763 14320 16067 18028 20228 22696 25465 28572 32058 35970 40359 45283 50808 57008 63964 71769 80526 90351 101376 113745 127624 143197 160669 180274 202271 226951 254644 285715]"
"cargo_can_k","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.288 0.352 0.44 0.536 0.664 0.816 1 1.232 1.512 1.864 2.288 2.672 3.112 3.624 4.224 4.928 5.744 6.696 7.808 9.104 10.616 12.376 14.424 16.816 19.608 22.864 25.648 28.776 32.288 36.232 40.648 45.608 51.176 57.416 64.424 72.288 81.104 91 102.104 114.56 128.536 144.224 161.824 181.568 203.72 228.576 256.464 287.76 322.872 362.264 406.464 456.064 511.712 574.152 644.208 722.808 811.008 909.96 1020.992 1145.576 1285.352 1442.192 1618.168 1815.608 2037.152 2285.72]"
"cargo_canisters","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.008 1.232 1.54 1.876 2.324 2.856 3.5 4.312 5.292 6.524 8.008 9.352 10.892 12.684 14.784 17.248 20.104 23.436 27.328 31.864 37.156 43.316 50.484 58.856 68.628 80.024 89.768 100.716 113.008 126.812 142.268 159.628 179.116 200.956 225.484 253.008 283.864 318.5 357.364 400.96 449.876 504.784 566.384 635.488 713.02 800.016 897.624 1007.16 1130.052 1267.924 1422.624 1596.224 1790.992 2009.532 2254.728 2529.828 2838.528 3184.86 3573.472 4009.516 4498.732 5047.672 5663.588 6354.628 7130.032 8000.02]"
"cargo_circuits","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 87.3 564 3630.9 0 0 0 0 0 0 0 723.6 854.4 1006.5 1165.8 1369.5 1599 1844.85 2139 2457.45 2814 2303.25 2468.4 2622.6 2759.4 2876.25 2946.9 2969.7 2916 2761.2 2476.5 2889 3366 3927 4576.5 5337 4575 5134.5 5760 6463.5 7251 8137.5 9130.5 10243.5 11493 12895.5 14470.5 16234.5 18216 20439 22933.5 25731 28870.5 32394 36345 40782 45756 51340.5 57604.5 64633.5 72519 81369 91297.5 102436.5 114936 128961 144696 162351 182161.5 204390 229327.5 257310 288706.5 323934 363460.5 407808]"
"cargo_construction","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 177.4 0 0 62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"cargo_conveyors","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.17637640824 3.18249090444 4.53744201812 6.34873859633 8.75495207288 9.97743203539 12.6000416454 15.8182540177 19.7575131856 24.5684936176 30.4320192314 37.5649201445 46.2270029217 56.7293425883 69.4441431335 84.8164587162 103.378121571 125.764286206 152.733074648 185.188896339 178.119377017 206.698575957 239.600223343 277.453654637 320.977431595 370.991746911 428.432527608 494.367467046 570.01424622 656.761239919 756.191042868 870.107195736 1000.56454163 1149.90370117 1320.79021917 1516.25900981 1739.76481046 1995.23944865 2287.15683385 2620.60670639 3001.37831319 3436.05533449 3932.12356171 4498.09302476 5143.63649173 5879.74651841 6718.91351207 7675.32759987 8765.10745975 10006.5596882 11420.4727504 13030.4500893 14863.2875761 16949.4011594 19323.311348 18869.4053047 21171.8209736 23755.1738435 26653.7434376 29905.9920132]"
"cargo_flights","[0.24966 0.18 0.18 0.19187 0.18 0.18 0.19187 0.68279 0.23 0.31187 0.35135 0.36322 0.34748 0.36322 0.35135 0.26322 0.27509 0.28696 0.27509 0.784893 0.2903783 0.2784936 0.5942189 0.5784642 0.2903195 2.0143048 2.98037095 18.2170973 119.0258646 1.163398 1.1463669 1.0978558 1.0689547 1.0480536 0.9995425 1.4925914 19.13776925 19.8868386 20.74129805 20.3599415 19.50077245 19.3632709829 21.7435533524 25.9962287356 29.4561079384 33.6697545207 28.649905192 30.7955794901 32.8602747266 34.7702887939 36.5030486229 38.23646688 39.0483207351 39.0653099131 38.0306065769 36.0501165895 42.1494903682 48.7278671029 56.8391833635 65.7824627017 76.9539137634 68.153279539 76.4431618572 85.6739403422 95.9773155379 107.440385379 119.98447312 134.622035153 150.890247121 168.510993225 189.069301824 211.463850005 236.996857294 265.26158518 296.89108176 332.655973651 372.191468708 417.030750555 466.90591471 522.837725403 585.420186864 656.114256048 735.810013627 824.843286478 924.841967959 1036.77539025 1162.26174865 1303.22383626 1461.00973032 1637.97965949 1836.41149996 2058.70894642 2308.20512551 2587.83733656 2901.20470045 3252.6224959 3668.18979773 4115.64499627 4617.92742246 5181.32178918 5813.46763513]"
"cargo_fsp","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 0 0 0 0 0 0 178.2 1188 7900.2 0 0 0 0 0 0 0 996.6 970.2 877.8 653.4 330 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
