key,value
"i",124
"j",4
"jid",12
"junctions","[-2750 -2250 -1750 -1250 -750 -250 250 750 1250 1750 2250 2750 0 0 0 0 0 0 0 0 0 0 0 0 1 2 3 4 5 6 7 8 9 10 11 12]"
"jx",2750
"jy",0
"k",56
"left",3
"m",123
"max_clp",5965.8528309
"max_dist",2988.54479639
"max_junctions",20
"min_branch",300
"min_nn",450
"min_spine",70
"n_active",34
"n_in_phase",124
"n_on_branch",3
"n_total",124
"node.tether_r",200
"node.buffer",50
"node.clearance",250
"node.min_sep",430
"node.units",5
"nodes_within","[2 2 2 2 6 6 6 8 10 12 14 16 16 18 22 24 24 28 28 30 36 36 38 40 44 46 48 52 54 56 60 64 64 66 70 74 76 82 82 86 90 92 96 96 100 104 106 108 110 114 116 118 118 118 122 124]"
"nx",-1250
"ny",-1620
"p",5
"ph",6
"ph_id",6
"phase.target","[2 5 10 17 34 60]"
"radii_test","[500 600 700 800 900 1000 1100 1200 1300 1400 1500 1600 1700 1800 1900 2000 2100 2200 2300 2400 2500 2600 2700 2800 2900 3000 3100 3200 3300 3400 3500 3600 3700 3800 3900 4000 4100 4200 4300 4400 4500 4600 4700 4800 4900 5000 5100 5200 5300 5400 5500 5600 5700 5800 5900 6000]"
"right",3
"s",4
"seg","[2750 2750 2750 2750 0 -270 -720 -1170]"
"side",-1
"sort_idx","[1 4 2 5 7 11 8 12 3 6 15 20 9 13 16 21 17 22 10 14 25 31 26 32 18 23 27 33 37 43 38 44 28 34 19 24 39 45 29 35 40 46 49 56 50 57 51 58 30 36 41 47 52 59 63 70 64 71 42 48 53 60 65 72 66 73 54 61 77 83 78 84 67 74 79 85 55 62 80 86 68 75 89 95 81 87 90 96 69 76 91 97 82 88 92 98 93 99 101 106 102 107 103 108 94 100 104 109 105 110 111 115 112 116 113 117 114 118 119 122 120 123 121 124]"
"spine.junction_spacing",500
"spine.branch_angle",90
"spine_dir","[1 0]"
"spine_end_x",2850
"spine_len",5850
"status","OK"
"theta_circ","[0 0.0210139976829 0.0420279953657 0.0630419930486 0.0840559907315 0.105069988414 0.126083986097 0.14709798378 0.168111981463 0.189125979146 0.210139976829 0.231153974512 0.252167972194 0.273181969877 0.29419596756 0.315209965243 0.336223962926 0.357237960609 0.378251958292 0.399265955975 0.420279953657 0.44129395134 0.462307949023 0.483321946706 0.504335944389 0.525349942072 0.546363939755 0.567377937438 0.58839193512 0.609405932803 0.630419930486 0.651433928169 0.672447925852 0.693461923535 0.714475921218 0.735489918901 0.756503916583 0.777517914266 0.798531911949 0.819545909632 0.840559907315 0.861573904998 0.882587902681 0.903601900364 0.924615898046 0.945629895729 0.966643893412 0.987657891095 1.00867188878 1.02968588646 1.05069988414 1.07171388183 1.09272787951 1.11374187719 1.13475587488 1.15576987256 1.17678387024 1.19779786792 1.21881186561 1.23982586329 1.26083986097 1.28185385866 1.30286785634 1.32388185402 1.3448958517 1.36590984939 1.38692384707 1.40793784475 1.42895184244 1.44996584012 1.4709798378 1.49199383548 1.51300783317 1.53402183085 1.55503582853 1.57604982622 1.5970638239 1.61807782158 1.63909181926 1.66010581695 1.68111981463 1.70213381231 1.72314781 1.74416180768 1.76517580536 1.78618980304 1.80720380073 1.82821779841 1.84923179609 1.87024579378 1.89125979146 1.91227378914 1.93328778682 1.95430178451 1.97531578219 1.99632977987 2.01734377756 2.03835777524 2.05937177292 2.0803857706 2.10139976829 2.12241376597 2.14342776365 2.16444176134 2.18545575902 2.2064697567 2.22748375438 2.24849775207 2.26951174975 2.29052574743 2.31153974512 2.3325537428 2.35356774048 2.37458173816 2.39559573585 2.41660973353 2.43762373121 2.4586377289 2.47965172658 2.50066572426 2.52167972194 2.54269371963 2.56370771731 2.58472171499 2.60573571268 2.62674971036 2.64776370804 2.66877770573 2.68979170341 2.71080570109 2.73181969877 2.75283369646 2.77384769414 2.79486169182 2.81587568951 2.83688968719 2.85790368487 2.87891768255 2.89993168024 2.92094567792 2.9419596756 2.96297367329 2.98398767097 3.00500166865 3.02601566633 3.04702966402 3.0680436617 3.08905765938 3.11007165707 3.13108565475 3.15209965243 3.17311365011 3.1941276478 3.21514164548 3.23615564316 3.25716964085 3.27818363853 3.29919763621 3.32021163389 3.34122563158 3.36223962926 3.38325362694 3.40426762463 3.42528162231 3.44629561999 3.46730961767 3.48832361536 3.50933761304 3.53035161072 3.55136560841 3.57237960609 3.59339360377 3.61440760145 3.63542159914 3.65643559682 3.6774495945 3.69846359219 3.71947758987 3.74049158755 3.76150558523 3.78251958292 3.8035335806 3.82454757828 3.84556157597 3.86657557365 3.88758957133 3.90860356901 3.9296175667 3.95063156438 3.97164556206 3.99265955975 4.01367355743 4.03468755511 4.05570155279 4.07671555048 4.09772954816 4.11874354584 4.13975754353 4.16077154121 4.18178553889 4.20279953657 4.22381353426 4.24482753194 4.26584152962 4.28685552731 4.30786952499 4.32888352267 4.34989752036 4.37091151804 4.39192551572 4.4129395134 4.43395351109 4.45496750877 4.47598150645 4.49699550414 4.51800950182 4.5390234995 4.56003749718 4.58105149487 4.60206549255 4.62307949023 4.64409348792 4.6651074856 4.68612148328 4.70713548096 4.72814947865 4.74916347633 4.77017747401 4.7911914717 4.81220546938 4.83321946706 4.85423346474 4.87524746243 4.89626146011 4.91727545779 4.93828945548 4.95930345316 4.98031745084 5.00133144852 5.02234544621 5.04335944389 5.06437344157 5.08538743926 5.10640143694 5.12741543462 5.1484294323 5.16944342999 5.19045742767 5.21147142535 5.23248542304 5.25349942072 5.2745134184 5.29552741608 5.31654141377 5.33755541145 5.35856940913 5.37958340682 5.4005974045 5.42161140218 5.44262539986 5.46363939755 5.48465339523 5.50566739291 5.5266813906 5.54769538828 5.56870938596 5.58972338364 5.61073738133 5.63175137901 5.65276537669 5.67377937438 5.69479337206 5.71580736974 5.73682136742 5.75783536511 5.77884936279 5.79986336047 5.82087735816 5.84189135584 5.86290535352 5.8839193512 5.90493334889 5.92594734657 5.94696134425 5.96797534194 5.98898933962 6.0100033373 6.03101733499 6.05203133267 6.07304533035 6.09405932803 6.11507332572 6.1360873234 6.15710132108 6.17811531877 6.19912931645 6.22014331413 6.24115731181 6.2621713095 6.28318530718]"
"too_close",0
"total_placed",124
"util_pct",46.9585798817
