key,value
"Ab",2.82743338823e-05
"Gc",0.0358673171747
"Gd",0.0520837805409
"Gweb",0.0488100196126
"Lm",0.1
"N",10
"N250",10
"Ni",10
"Nl","[0 4 6 8 10]"
"Nlw",8
"Nr","[4 5 6 7 8 9 10]"
"QA",1.93859589045
"QA1",1.18855296182
"QA2",0.750042928632
"QB",0.0541742871564
"QC_val",0.35878326056
"QD",0.0380946462121
"QE",2.5
"QF",1.79350180207
"QG",1.67393501526
"QH",0.391172459634
"Qcc_Cu",2.30647413341
"Qcc_Mn",0.03159936
"Qcf_PK",3.22704397377
"Qcf_Ti",43.7432898077
"Qch_full",3.34787003053
"Qco",8.35708490171
"Qe_m",0
"Qe_mode","[64.4379823365 64.4379823365 64.4379823365 64.4379823365 64.4379823365 0]"
"Qi",11
"Qlw",8.8
"Qmar",2.6244772084
"Qmd",0.977931149085
"Qstrap",7.23775728
"Qsub",8.74825736134
"Qtd",12.135520866
"Qtot",11.3727345697
"Qv","[1.93859589045 0.0541742871564 0.35878326056 0.0380946462121 2.5 1.79350180207 1.67393501526 0.391172459634]"
"Qvc",2.29896654457
"Qvl",0.0338176383806
"Qvm",0.732463583822
"Qvx_draw",3.06524776677
"Qvx_htr",0
"Qvx_loss",3.06524776677
"Qw_drill",15
"Qw_dump",0
"Qw_m",0
"Qw_mode","[15 0 15 0 15 0]"
"Qw_none",0
"RB",4300.93338058
"Rbo",382.484523028
"Rw",430.055509868
"T0",300.137169979
"T200",279.782068384
"T24",273.864113779
"T47",272.963209985
"T72",275.550134575
"TAll.numel",16198
"TAll.sum",4805369.06281
"TAll.min",273
"TAll.max",304.093658155
"TAll.mean",296.664345154
"Tc_m",40
"Teq",251.198186571
"Teq_map","[132.206910857 131.164515817 130.145425774 129.148867818 128.174102843 127.220423719 126.287153582 125.373644232 124.479274628 155.258638571 153.955644771 152.681782217 151.436084772 150.217628553 149.025529649 147.858941978 146.717055289 145.599093285 178.310366286 176.746773725 175.21813866 173.723301726 172.261154264 170.830635578 169.430730373 168.060466347 166.718911943 201.362094 199.537902679 197.754495104 196.010518681 194.304679975 192.635741508 191.002518769 189.403877405 187.8387306 224.413821714 222.329031633 220.290851547 218.297735635 216.348205685 214.440847438 212.574307164 210.747288463 208.958549257 247.465549429 245.120160587 242.827207991 240.58495259 238.391731396 236.245953367 234.14609556 232.090699521 230.078367914 270.517277143 267.911289542 265.363564434 262.872169544 260.435257107 258.051059297 255.717883955 253.434110579 251.198186571]"
"Teqf",265.363564434
"Teqw",250.363564434
"Tf",40
"Tp.numel",9601
"Tp.sum",2654380.11683
"Tp.min",273
"Tp.max",279.782068384
"Tp.mean",276.469129969
"Ts.numel",9601
"Ts.sum",2900145.23491
"Ts.min",300.137169979
"Ts.max",304.093658155
"Ts.mean",302.066996657
