key,value
"cargo_armc","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5 0 0 0 0 0 0 1.5 1.5 1.5 0 0 0 0 0 0 0 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 3 3 3 3 4.5 4.5 4.5 4.5 4.5 4.5 6 6 7.5 7.5 9 9 10.5 12 13.5 15 16.5 18 19.5 22.5 25.5 28.5 12 13.5 13.5 13.5 15 15 16.5 16.5 18 18 19.5 19.5 21 22.5 22.5 24 25.5 27 27 28.5 22.5 24 24 25.5 25.5 27 28.5 28.5 30 31.5 31.5 33 34.5 36 36 37.5 39 40.5 42 43.5 45 46.5 48 49.5 51 52.5 55.5 57 58.5 61.5 63 66 67.5 70.5 72 75 78 79.5 82.5 85.5 52.5 52.5 54 55.5 57 57 58.5 60 61.5 61.5 63 64.5 66 67.5 69 70.5 72 73.5 75 76.5 97.5 100.5 103.5 105 108 111 114 117 120 123 126 129 132 136.5 139.5 142.5 147 150 154.5 159 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"cargo_can_25","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.008 1.232 1.54 1.876 2.324 2.856 3.5 4.312 5.292 6.524 8.008 9.352 10.892 12.684 14.784 17.248 20.104 23.436 27.328 31.864 37.156 43.316 50.484 58.856 68.628 80.024 89.768 100.716 113.008 126.812 142.268 159.628 179.116 200.956 225.484 253.008 283.864 318.5 357.364 400.96 449.876 504.784 566.384 635.488 713.02 800.016 837.508 876.792 917.896 960.904 1005.956 1053.108 1102.5 1154.16 1208.284 1264.928 1324.232 1386.308 1451.296 1519.336 1590.568 1665.132 1743.168 1824.9 1910.44 2000.012 2070.544 2143.568 2219.14 2297.4 2378.432 2462.292 2549.148 2639.028 2732.1 2828.448 2928.184 3031.448 3138.352 3249.036 3363.612 3482.22 3605.028 3732.148 3863.748 4000.024 4187.54 4383.848 4589.368 4804.52 5029.752 5265.54 5512.388 5770.8 6041.364 6324.556 6621.076 6931.456 7256.424 7596.596 7952.728 8325.548 8715.84 9124.444 9552.2 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004 10000.004]"
"cargo_canisters","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.008 1.232 1.54 1.876 2.324 2.856 3.5 4.312 5.292 6.524 8.008 9.352 10.892 12.684 14.784 17.248 20.104 23.436 27.328 31.864 37.156 43.316 50.484 58.856 68.628 80.024 89.768 100.716 113.008 126.812 142.268 159.628 179.116 200.956 225.484 253.008 283.864 318.5 357.364 400.96 449.876 504.784 566.384 635.488 713.02 800.016 837.508 876.792 917.896 960.904 1005.956 1053.108 1102.5 1154.16 1208.284 1264.928 1324.232 1386.308 1451.296 1519.336 1590.568 1665.132 1743.168 1824.9 1910.44 2000.012 2070.544 2143.568 2219.14 2297.4 2378.432 2462.292 2549.148 2639.028 2732.1 2828.448 2928.184 3031.448 3138.352 3249.036 3363.612 3482.22 3605.028 3732.148 3863.748 4000.024 4141.06 4287.108 4438.28 4594.8 4756.836 4924.584 5098.268 5278.056 5464.172 5656.868 5856.368 6062.868 6276.676 6498.044 6727.196 6964.412 7210.028 7464.268 7727.496 8000.02 8163.848 8331.064 8501.668 8675.8 8853.46 9034.788 9219.812 9408.644 9601.34 9797.984 9998.632 10203.424 10412.388 10625.636 10843.252 11065.32 11291.924 11523.176 11759.188 12000.016 12310.452 12628.924 12955.656 13290.816 13634.656 13987.372 14349.244 14720.44 15101.268 15491.952 15892.716 16303.868 16725.66 17158.372 17602.256 18057.62 18524.772 19004.02 19495.644 20000.008 20000.008 20000.008 20000.008 20000.008 20000.008 20000.008 20000.008 20000.008 20000.008 20000.008 20000.008 20000.008 20000.008 20000.008 20000.008 20000.008 20000.008 20000.008 20000.008 20000.008]"
"cargo_circ_25","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0 0 0 0 54.32 342.16 2267.72 0 0 0 0 0 0 0 450.24 519.68 631.96 730.8 847 990.08 1152.48 1326.64 1529.08 1758.4 1429.68 1532.72 1631.84 1716.96 1792 1835.68 1846.04 1814.4 1718.08 1540 1797.6 2094.4 2444.4 2847.6 3320.8 2847.6 3194.8 3584 4020.8 4510.8 5065.2 5681.2 6372.8 7151.2 8024.8 9002 10102.4 11334.4 12717.6 14268.8 16010.4 17964.8 20157.2 22612.8 25376.4 10939.6 11449.2 11989.6 12549.6 13140.4 13753.6 14400.4 15072.4 15783.6 16520 17295.6 18107.6 18953.2 19846.4 20773.2 21747.6 22766.8 23836.4 24950.8 26124 20571.6 21296.8 22047.2 22825.6 23629.2 22751.148 21780.36 20713.168 19543.104 18265.52 16873.36 15360.996 13719.552 11943.008 10025.4 10379.04 10745.28 11123.28 11516.4 11922.12 16408.56 17177.16 17982.72 18825.24 19708.08 19119.0608 18431.7952 17636.6736 16728.2416 15695.064 14528.304 13217.7304 11752.3728 10120.5216 8309.728 8699.04 9107.168 9534.112 9980.768 10448.928 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"cargo_circuits","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0 0 0 0 54.32 342.16 2267.72 0 0 0 0 0 0 0 450.24 519.68 631.96 730.8 847 990.08 1152.48 1326.64 1529.08 1758.4 1429.68 1532.72 1631.84 1716.96 1792 1835.68 1846.04 1814.4 1718.08 1540 1797.6 2094.4 2444.4 2847.6 3320.8 2847.6 3194.8 3584 4020.8 4510.8 5065.2 5681.2 6372.8 7151.2 8024.8 9002 10102.4 11334.4 12717.6 14268.8 16010.4 17964.8 20157.2 22612.8 25376.4 10939.6 11449.2 11989.6 12549.6 13140.4 13753.6 14400.4 15072.4 15783.6 16520 17295.6 18107.6 18953.2 19846.4 20773.2 21747.6 22766.8 23836.4 24950.8 26124 20571.6 21296.8 22047.2 22825.6 23629.2 22751.148 21780.36 20713.168 19543.104 18265.52 16873.36 15360.996 13719.552 11943.008 10025.4 10379.04 10745.28 11123.28 11516.4 11922.12 12342.96 12778.08 13228.32 13695.36 14177.52 13601.7616 12966.912 12270.5856 11509.3104 10678.304 9774.912 8794.5144 7732.8384 6584.7936 5347.104 5535.264 5730.816 5932.64 6141.856 6358.688 3823.008 3901.184 3981.152 4062.688 4145.792 4230.912 4317.376 4405.856 4496.128 4588.192 4682.272 4777.92 4876.032 4975.712 5077.632 5181.568 5287.968 5395.936 5506.592 5619.488 7243.488 7431.2 7623.168 7820.512 8023.008 8230.432 8443.232 8661.856 8885.632 9115.904 9351.552 9593.248 9841.664 10096.352 10357.536 10625.216 10900.288 11182.304 11471.712 11768.288 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"cargo_construction","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 177.4 0 0 62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"cargo_construction_fleet","[10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 14.3713333333 10.3413333333 10.3413333333 10.3413333333 10.3413333333 10.3413333333 10.3413333333 14.0413333333 14.0413333333 14.2913333333 10.3413333333 10.3413333333 10.3413333333 10.3413333333 10.3413333333 10.3413333333 10.3413333333 14.2913333333 14.0413333333 14.2913333333 14.0413333333 14.2913333333 14.2913333333 14.5413333333 14.3793333333 14.5493333333 14.5493333333 14.5493333333 14.6373333333 14.8073333333 17.0953333333 17.0153333333 17.3533333333 17.5233333333 19.8113333333 20.0693333333 21.8273333333 24.3733333333 24.5513333333 27.3473333333 31.3133333333 31.8293333333 31.3453333333 31.3613333333 34.4153333333 36.6393333333 40.8633333333 43.6753333333 47.9073333333 50.8893333333 54.9593333333 60.4873333333 67.0233333333 73.7293333333 81.0233333333 87.8253333333 97.0853333333 106.691333333 118.337333333 129.797333333 145.505333333 161.809333333 74.1233333333 78.1373333333 80.4893333333 83.0113333333 87.0333333333 89.1433333333 93.1733333333 95.7913333333 101.779333333 104.155333333 107.951333333 112.785333333 116.427333333 122.689333333 127.289333333 138.109333333 145.055333333 151.591333333 156.965333333 163.759333333 132.139333333 138.659333333 141.567333333 145.895333333 150.761333333 155.347333333 162.059333333 165.073333333 171.793333333 178.65 181.994666667 189.006 196.355333333 203.712666667 209.428 216.801333333 224.182666667 234.080666667 241.22 248.955333333 258.877333333 268.975333333 276.316666667 286.680666667 296.472666667 306.684666667 318.560666667 328.796666667 339.208666667 353.295333333 363.981333333 378.342 391.060666667 405.775333333 418.856 433.514666667 448.357333333 463.994666667 481.04 496.172666667 306.641333333 312.444666667 317.309333333 324.440666667 332.16 337.737333333 344.884666667 352.708 359.871333333 365.972666667 373.232 380.911333333 388.516666667 398.308666667 405.93 413.391333333 423.537333333 431.344666667 438.91 449.168 571.05 586.262666667 603.42 616.838666667 633.938 649.376666667 666.59 684.399333333 701.812666667 719.574 737.431333333 757.489333333 775.636666667 797.296666667 817.910666667 838.460666667 860.426666667 881.346666667 905.699333333 928.309333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333]"
"cargo_conv_25","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.17637640824 3.18249090444 4.53744201812 6.34873859633 8.75495207288 9.97743203539 12.6000416454 15.8182540177 19.7575131856 24.5684936176 30.4320192314 37.5649201445 46.2270029217 56.7293425883 69.4441431335 84.8164587162 103.378121571 125.764286206 152.733074648 185.188896339 178.119377017 206.698575957 239.600223343 277.453654637 320.977431595 370.991746911 428.432527608 494.367467046 570.01424622 656.761239919 756.191042868 870.107195736 1000.56454163 1149.90370117 1320.79021917 1516.25900981 1739.76481046 1995.23944865 2287.15683385 2620.60670639 1461.04481703 1554.07793706 1652.62286551 1756.99192799 1867.51462027 1984.53853182 2108.43031804 2239.57672404 2378.38566241 2525.28734792 2680.73549212 2845.20856086 3019.21109815 3203.2751197 3397.9615798 2563.17040614 2683.33243707 2809.12769224 2940.82025853 3078.68660328 2424.46351409 2509.96203528 2598.47565529 2690.11070138 2784.97725039 2883.18926103 2984.86471074 3090.12573744 3199.09878623 3311.91476129 3428.70918311 3549.62235133 3674.79951321 3804.39103818 3938.5525984 4077.44535583 4221.23615577 4370.09772732 4524.20889086 4683.75477283 6446.03230932 6748.22381865 7064.58213694 7395.77140754 7742.48690896 8105.45651455 8485.44222055 8883.24174573 9299.69020613 9735.6618682 10192.0719842 10669.8787138 11170.085135 11693.7413509 12241.9466932 12815.8520307 13416.6621853 14045.6384612 14704.1012927 15393.4330164 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"cargo_conveyors","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.17637640824 3.18249090444 4.53744201812 6.34873859633 8.75495207288 9.97743203539 12.6000416454 15.8182540177 19.7575131856 24.5684936176 30.4320192314 37.5649201445 46.2270029217 56.7293425883 69.4441431335 84.8164587162 103.378121571 125.764286206 152.733074648 185.188896339 178.119377017 206.698575957 239.600223343 277.453654637 320.977431595 370.991746911 428.432527608 494.367467046 570.01424622 656.761239919 756.191042868 870.107195736 1000.56454163 1149.90370117 1320.79021917 1516.25900981 1739.76481046 1995.23944865 2287.15683385 2620.60670639 1461.04481703 1554.07793706 1652.62286551 1756.99192799 1867.51462027 1984.53853182 2108.43031804 2239.57672404 2378.38566241 2525.28734792 2680.73549212 2845.20856086 3019.21109815 3203.2751197 3397.9615798 2563.17040614 2683.33243707 2809.12769224 2940.82025853 3078.68660328 2424.46351409 2509.96203528 2598.47565529 2690.11070138 2784.97725039 2883.18926103 2984.86471074 3090.12573744 3199.09878623 3311.91476129 3428.70918311 3549.62235133 3674.79951321 3804.39103818 3938.5525984 4077.44535583 4221.23615577 4370.09772732 4524.20889086 4683.75477283 4848.92702819 5019.92407055 5196.95131059 5380.22140276 5569.95450078 5766.37852205 5969.72942147 6180.25147487 6398.19757246 6623.82952257 6857.41836622 7099.24470266 7349.59902643 7608.78207636 7877.10519681 8154.89071166 8442.47231154 8740.19545464 9048.41778171 9367.50954567 5632.0422536 5747.38734431 5865.09472021 5985.21276125 6107.79083822 6232.87933305 6360.52965947 6490.79428418 6623.72674843 6759.38168997 6897.81486556 7039.08317385 7183.2446788 7330.35863352 7480.48550464 7633.68699715 7790.02607977 7949.56701081 8112.37536464 8278.51805857 10671.4799975 10947.5539014 11230.7699074 11521.3127836 11819.3720779 12125.1422421 12438.8227582 12760.6182691 13090.7387118 13429.3994544 13776.8214366 14133.2313139 14498.8616055 14873.9508458 15258.7437401 15653.4913247 16058.4511297 16473.8873479 16900.0710068 17337.2801455 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"cargo_dro_infra","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 110 0 0 0 0 0 0 0 0 0 50 0 0 0 0 50 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 60 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
