key,value
"cost_total","[670.1 670.1 670.1 670.1 670.1 670.1 670.1 717.35 717.35 963.05 963.05 963.05 1104.8 1104.8 1104.8 736.25 736.25 736.25 736.25 736.25 736.25 736.25 925.25 925.25 925.25 2134 17443 17443 24247 24247 15747 15747 15747 15747 15747 103112 103112.462289 103113.031433 103113.732132 103114.594793 69095.6568542 69096.9644045 69098.5741877 69100.5560633 69102.9960383 80766 80768.6546304 80771.7497023 80775.3582911 80779.5655968 80784.470955 80790.1901829 55546.858313 55554.632782 55563.6971473 55574.2654213 55586.5871242 55600.9531751 55617.7027607 55637.2313438 46535 46554.5229527 46576.4280659 46601.0060071 46628.5829108 46659.5247056 46694.2419704 46733.1953822 46776.901829 46825.941269 38755.9644256 38817.7014228 38886.9714729 38964.6937474 39051.8995738 39149.7461203 39259.5317512 39382.713255 39520.9251756 39676.001501 115225 115420.229527 115639.280659 115885.060071 116160.829108 116470.247056 116817.419704 117206.953822 117644.01829 118134.41269 118684.644256 119302.014228 119994.714729 120771.937474 121643.995738 122622.461203 123720.317512 124952.13255 126334.251756 127885.01501 129625]"
"cost_total_old","[670.1 670.1 670.1 670.1 670.1 670.1 670.1 717.35 717.35 963.05 963.05 963.05 1104.8 1104.8 1104.8 736.25 736.25 736.25 736.25 736.25 736.25 736.25 925.25 925.25 925.25 11657.44 26966.44 26966.44 33770.44 33770.44 25270.44 25270.44 25270.44 25270.44 25270.44 204667.1 204667.562289 204668.131433 204668.832132 204669.694793 170650.756854 170652.064405 170653.674188 170655.656063 170658.096038 80766 80768.6546304 80771.7497023 80775.3582911 80779.5655968 80784.470955 80790.1901829 55546.858313 55554.632782 55563.6971473 55574.2654213 55586.5871242 55600.9531751 55617.7027607 55637.2313438 46535 46554.5229527 46576.4280659 46601.0060071 46628.5829108 46659.5247056 46694.2419704 46733.1953822 46776.901829 46825.941269 38755.9644256 38817.7014228 38886.9714729 38964.6937474 39051.8995738 39149.7461203 39259.5317512 39382.713255 39520.9251756 39676.001501 115225 115420.229527 115639.280659 115885.060071 116160.829108 116470.247056 116817.419704 117206.953822 117644.01829 118134.41269 118684.644256 119302.014228 119994.714729 120771.937474 121643.995738 122622.461203 123720.317512 124952.13255 126334.251756 127885.01501 129625]"
"cpt",375313.799137
"cum_cost","[670.1 1340.2 2010.3 2680.4 3350.5 4020.6 4690.7 5408.05 6125.4 7088.45 8051.5 9014.55 10119.35 11224.15 12328.95 13065.2 13801.45 14537.7 15273.95 16010.2 16746.45 17482.7 18407.95 19333.2 20258.45 22392.45 39835.45 57278.45 81525.45 105772.45 121519.45 137266.45 153013.45 168760.45 184507.45 287619.45 390731.912289 493844.943722 596958.675854 700073.270647 769168.927502 838265.891906 907364.466094 976465.022157 1045568.0182 1126334.0182 1207102.67283 1287874.42253 1368649.78082 1449429.34642 1530213.81737 1611004.00755 1666550.86587 1722105.49865 1777669.1958 1833243.46122 1888830.04834 1944431.00152 2000048.70428 2055685.93562 2102220.93562 2148775.45857 2195351.88664 2241952.89265 2288581.47556 2335241.00026 2381935.24223 2428668.43762 2475445.33945 2522271.28071 2561027.24514 2599844.94656 2638731.91804 2677696.61178 2716748.51136 2755898.25748 2795157.78923 2834540.50248 2874061.42766 2913737.42916 3028962.42916 3144382.65869 3260021.93935 3375906.99942 3492067.82852 3608538.07558 3725355.49528 3842562.44911 3960206.4674 4078340.88009 4197025.52434 4316327.53857 4436322.2533 4557094.19077 4678738.18651 4801360.64772 4925080.96523 5050033.09778 5176367.34953 5304252.36454 5433877.36454]"
"cum_rev_tot","[-1.3167 -2.6334 -3.9501 -5.2668 -6.5835 -7.9002 -9.2169 -10.89935 -12.5818 28.07135 87.962 167.09015 264.35855 380.86445 516.60785 674.4416 851.51285 1047.8216 1263.36785 1498.16241265 1752.19684342 2025.47166096 2316.5244975 2626.81912377 2956.35647927 3382.27445927 3668.60522801 4014.04159151 4338.86388958 4702.16119161 5213.65849752 5763.63080724 6352.07812069 6979.0004378 7644.39775849 7354.4725827 7163.29763516 7071.46525441 7079.70468416 7188.91371301 7839.09762501 8592.71714969 9451.44749007 10417.3509863 11492.9665629 11370.4823335 11339.6616408 11402.9451603 11563.1783403 11823.678503 12188.3130592 12661.5906758 13980.2675348 15418.9711781 16984.8448407 18628.5031506 20359.6531306 22189.610079 24131.5636533 26200.8878517 28825.4895916 31596.6360677 34527.4957554 37632.8397049 40929.2360953 44416.0307969 48114.066755 52046.72034 56240.2081768 60723.9308751 65896.6080384 71429.4594307 77363.937744 83746.5190244 90629.3074991 98070.7123048 106136.204442 114899.163196 124441.822266 134856.326926 144632.702237 155519.046107 167644.887388 181155.275675 196212.608565 212998.666271 231716.875267 252594.824376 275887.058556 301878.177404 330886.267062 363266.695775 399416.304541 439778.025134 484845.95798 535170.941722 591366.6445 654116.203644 724179.43503 802400.625303 889678.433542]"
"discount_rate","[0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02]"
"dr_options","[0.014 0.02 0.03 0.035]"
"earth_cargo","[18 18 18 18 18 18 18 23 23 49 49 49 64 64 64 25 25 25 25 25 25 25 45 45 45 200 2900 2900 4100 4100 2600 2600 2600 2600 2600 18000 18000 18000 18000 18000 12000 12000 12000 12000 12000 30000 30000 30000 30000 30000 30000 30000 20000 20000 20000 20000 20000 20000 20000 20000 15000 15000 15000 15000 15000 15000 15000 15000 15000 15000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 33000 33000 33000 33000 33000 33000 33000 33000 33000 33000 33000 33000 33000 33000 33000 33000 33000 33000 33000 33000 33000]"
"earth_cargo_old","[18 18 18 18 18 18 18 23 23 49 49 49 64 64 64 25 25 25 25 25 25 25 45 45 45 1963.6 4663.6 4663.6 5863.6 5863.6 4363.6 4363.6 4363.6 4363.6 4363.6 36806.5 36806.5 36806.5 36806.5 36806.5 30806.5 30806.5 30806.5 30806.5 30806.5 30000 30000 30000 30000 30000 30000 30000 20000 20000 20000 20000 20000 20000 20000 20000 15000 15000 15000 15000 15000 15000 15000 15000 15000 15000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 33000 33000 33000 33000 33000 33000 33000 33000 33000 33000 33000 33000 33000 33000 33000 33000 33000 33000 33000 33000 33000]"
"ext_rockets","[-1.3167 -1.3167 -1.3167 -1.3167 -1.3167 -1.3167 -1.3167 -1.68245 -1.68245 -3.58435 -3.58435 -3.58435 -4.6816 -4.6816 -4.6816 -1.82875 -1.82875 -1.82875 -1.82875 -1.82875 -1.82875 -1.82875 -3.29175 -3.29175 -3.29175 -14.63 -212.135 -212.135 -299.915 -299.915 -190.19 -190.19 -190.19 -190.19 -190.19 -1316.7 -1316.7 -1316.7 -1316.7 -1316.7 -877.8 -877.8 -877.8 -877.8 -877.8 -2194.5 -2194.5 -2194.5 -2194.5 -2194.5 -2194.5 -2194.5 -1463 -1463 -1463 -1463 -1463 -1463 -1463 -1463 -1097.25 -1097.25 -1097.25 -1097.25 -1097.25 -1097.25 -1097.25 -1097.25 -1097.25 -1097.25 -731.5 -731.5 -731.5 -731.5 -731.5 -731.5 -731.5 -731.5 -731.5 -731.5 -2413.95 -2413.95 -2413.95 -2413.95 -2413.95 -2413.95 -2413.95 -2413.95 -2413.95 -2413.95 -2413.95 -2413.95 -2413.95 -2413.95 -2413.95 -2413.95 -2413.95 -2413.95 -2413.95 -2413.95 -2413.95]"
