key,value,source,comparable
mol_CO2_A,60.3125,matlab_r2025a;octave_agrees,yes
mol_CO2_B,90.5257936508,matlab_r2025a;octave_agrees,yes
mol_CO2_C,53.3969552374,matlab_r2025a;octave_agrees,yes
mol_H2_A,241.25,matlab_r2025a;octave_agrees,yes
mol_H2_B,362.103174603,matlab_r2025a;octave_agrees,yes
mol_H2_C,213.58782095,matlab_r2025a;octave_agrees,yes
n_MI,170,matlab_r2025a;octave_agrees,yes
n_crew,4,matlab_r2025a;octave_agrees,yes
n_stacks,17,matlab_r2025a;octave_agrees,yes
prop_from_H2,1041115.4438,matlab_r2025a;octave_agrees,yes
prop_from_O2,1377136.83042,matlab_r2025a;octave_agrees,yes
rho_LH2,70.8,matlab_r2025a;octave_agrees,yes
total_water,1329060,matlab_r2025a;octave_agrees,yes
usable_prop,1041115.4438,matlab_r2025a;octave_agrees,yes
water_per_MI,7818,matlab_r2025a;octave_agrees,yes
water_yr,968000,matlab_r2025a;octave_agrees,yes
y_2920,1509.43698113,matlab_r2025a;octave_agrees,yes
y_berth_head,1500,matlab_r2025a;octave_agrees,yes
y_floor,-1700,matlab_r2025a;octave_agrees,yes
y_mezz,500,matlab_r2025a;octave_agrees,yes
