key,value,source,comparable
cl_25,[317.694 255 255 265.683 255 255 265.683 707.511 300 373.683 409.215 419.898 405.732 419.898 409.215 329.898 340.581 351.264 340.581 1248.3057 352.97247 342.27624 626.42901 612.24978 352.91955 1142.703792 1248.333057 6869.145186 45635.63346 285.705 290.98971 279.27522 278.15013 281.34504 269.63055 550.35846 6860.916531 6997.193388 7600.414725 7270.28613 6562.097865 6165.81650677 7151.4129343 8374.23471725 9445.78587871 5546.24026352 4192.37578132 4646.81850587 4978.89511497 5290.88453181 5584.71503906 5812.73235333 5974.72156712 6161.8488616 6093.82072755 5846.9742807 6864.05692539 7911.31090905 9150.18472421 10673.5812587 12425.8326242 10832.6107181 12065.3653976 13622.3805189 15092.9554678 16991.8140781 18952.5718132 21208.0302216 23719.0533635 26527.8902895 30009.1889893 33233.5001347 37153.3027068 41580.3569783 46578.0328234 52043.5854461 58256.4110104 65147.3855221 72932.1289107 81616.3092841 91416.0408993 43592.7888861 45612.7532104 47653.6429674 49812.4151726 52207.9761861 54396.2070966 56907.6947912 59435.7788652 62181.6679319 64983.2807375 67882.0901917 70994.6796205 74188.3501525 77591.5579954 81118.0339654 86523.8173113 90601.2887441 94830.6228282 99277.8376971 103911.501892 86446.7388625 89536.4081409 92642.2119366 95943.3658356 99456.7074738 97862.8537161 96303.3385993 94378.6945877 92286.1324446 89887.7632834 87232.4162694 84250.3770527 80942.3508846 77331.7946684 73438.5777597 75924.2587536 78648.3446887 81390.5787392 84225.7483425 87233.0351654 110915.27171 116105.277182 121529.061437 127162.684556 133321.807746 135128.485907 137056.49503 138847.561744 140504.413843 142004.575518 143320.321848 144526.320942 145432.365516 146180.70271 146621.074146 153459.536007 160648.294237 168117.700891 176003.132469 184195.869858 59794.8343833 59852.0119167 59907.7174333 59969.9814167 60034.62435 60094.8432833 60159.9329167 60227.6803 60294.7650333 60360.2017167 60429.5624 60501.0192333 60573.3641667 60652.2660167 60726.85595 60802.1826833 60885.3848333 60963.9212167 61043.0629 61130.17105 61514.1017 61633.4121167 61759.68385 61878.7673667 62009.26735 62137.8843667 62273.26555 62412.5279333 62553.2478667 62697.3564 62844.2823333 62999.3534833 63152.3650167 63316.9438667 63481.7644167 63649.3527167 63823.4896167 63998.0960667 64184.4495833 64369.6902333 62158.0902333 62158.0902333 62158.0902333 62158.0902333 62158.0902333 62158.0902333 62158.0902333 62158.0902333 62158.0902333 62158.0902333 62158.0902333 62158.0902333 62158.0902333 62158.0902333 62158.0902333 62158.0902333 62158.0902333 62158.0902333 62158.0902333 62158.0902333],matlab_r2025a;octave_agrees,yes
cl_k,[158.847 127.5 127.5 132.8415 127.5 127.5 132.8415 353.7555 150 186.8415 204.6075 209.949 202.866 209.949 204.6075 164.949 170.2905 175.632 170.2905 624.15285 176.486235 171.13812 313.214505 306.12489 176.459775 571.351896 624.1665285 3434.572593 22817.81673 142.8525 145.494855 139.63761 139.075065 140.67252 134.815275 275.17923 3572.2082655 3505.346694 3806.9573625 3641.893065 3287.7989325 3089.65825338 3724.20646715 4200.61735862 4878.14293936 2585.62013176 2096.18789066 2323.40925293 2489.44755749 2645.4422659 2792.35751953 2906.36617667 2987.36078356 3080.9244308 3046.91036377 2923.48714035 3432.02846269 3955.65545452 4575.0923621 5336.79062937 6212.91631209 5416.30535904 6032.68269882 6811.19025945 7546.47773391 8495.90703905 9476.28590661 10604.0151108 11859.5266818 13263.9451448 15004.5944946 16616.7500673 18576.6513534 20790.1784892 23289.0164117 26021.7927231 29128.2055052 32573.6927611 36466.0644554 40808.1546421 45708.0204497 21796.3944431 22806.3766052 23826.8214837 24906.2075863 26103.9880931 27198.1035483 28453.8473956 29717.8894326 31090.833966 32491.6403688 33863.1978575 35339.2586475 36853.7838553 38471.0977768 40148.3114594 42457.7413882 44318.3582819 46240.1406001 48254.927366 50345.8528353 41858.2749545 43354.8864832 44858.1566951 46457.1287027 48160.2003939 47308.2108697 46470.9947357 45449.5275264 44341.8473269 43079.1700138 41685.8892394 40126.5752996 38402.10364 36523.9979156 34501.8015252 35666.2649873 36947.4807746 38234.9291952 39565.6074561 40979.4401118 42426.1827673 43921.2370661 45462.6417814 47062.9660554 48828.951554 48883.2272944 49040.2812476 49103.1235191 49108.5462601 49093.8867605 48970.8365437 48800.9365605 48553.6570913 48226.6846261 47812.6577504 49510.2615908 51265.2953905 53059.669882 54916.7594872 56892.3613236 43515.7783524 44416.5065301 45316.3620271 46235.7324614 47192.9437571 48167.3206341 49142.5516645 50158.2990822 51173.1969062 52225.4346179 53301.361347 54378.3381049 55496.7161151 56638.5490238 57801.3192731 58967.25998 60178.0035921 61429.817356 62666.5216627 63971.3775441 73653.7277673 75572.0477417 77520.9658005 79512.404027 81597.9387824 83693.2742971 85842.2214285 88084.5801475 90362.6049467 92678.2043201 95088.6176072 97562.5866932 100076.441487 102656.104617 105317.989096 108044.992743 110822.650249 113705.903024 116645.967942 119655.401744 55605.465312 55605.465312 55605.465312 55605.465312 55605.465312 55605.465312 55605.465312 55605.465312 55605.465312 55605.465312 55605.465312 55605.465312 55605.465312 55605.465312 55605.465312 55605.465312 55605.465312 55605.465312 55605.465312 55605.465312],matlab_r2025a;octave_agrees,yes
co2_rockets,[13590.2433333 10908.3333333 10908.3333333 11365.3283333 10908.3333333 10908.3333333 11365.3283333 30265.7483333 12833.3333333 15985.3283333 17505.3083333 17962.3033333 17356.3133333 17962.3033333 17505.3083333 14112.3033333 14569.2983333 15026.2933333 14569.2983333 53399.7438333 15099.3778833 14641.8169333 26797.2409833 26190.6850333 15097.1140833 46554.5989333 50858.0134333 279854.063133 1859229.51133 11639.8333333 11855.1363333 11226.5535382 11030.6100073 11004.8633405 10400.549082 20930.9475797 267841.529667 259029.541368 277191.615485 261226.245306 232264.729032 214918.916741 255022.624185 283093.605856 323467.851589 227534.571595 176786.198135 187438.718071 191714.84585 194037.89932 194585.433748 191884.107716 186288.831102 180837.94039 167680.61805 150179.5344 163731.78187 174222.888839 184746.804674 195956.278329 205026.238299 171290.65698 182488.651639 196673.118742 207528.137682 221955.571395 234538.076189 247868.853215 260909.586999 273568.868611 288838.444022 297024.407454 306514.747331 314451.449648 320223.975661 322019.684948 320410.260557 313521.792825 300845.031757 280556.063164 251394.112473 119880.169437 125435.071329 131047.51816 136984.141725 143571.934512 149589.569516 156496.160676 163448.391879 170999.586813 178704.022028 186675.748027 195235.368957 204017.962919 213376.784487 223074.593405 237940.497606 249153.544046 260784.212777 273014.053667 285756.630202 237728.531872 246225.122387 254766.082826 263844.256048 273397.664303 269117.691469 264829.024898 259536.253866 253781.707973 247186.341279 239884.136991 231683.529145 222586.457183 212657.427588 201951.081089 208786.703822 216277.940144 223819.083783 231615.800192 239885.838955 248355.036715 257107.278308 266131.949664 275502.398796 285694.620056 286703.958866 288197.791801 289195.018408 289900.23389 290518.0267 290563.941714 290378.721312 289794.725438 288798.491923 287351.814528 297549.77177 308092.553525 318882.979145 330051.947046 341797.39421 260382.611488 265766.265593 271156.807454 276662.439029 282385.021722 288211.924706 294052.510198 300127.014964 306206.004304 312499.592314 318935.804949 325387.209094 332077.830956 338907.043785 345864.106755 352850.405861 360092.997763 367575.469321 374984.917136 382784.405153 441576.050421 453070.623071 464759.339182 476704.981041 489195.465146 501765.401248 514656.990558 528090.388802 541749.265968 555643.380909 570087.809003 584913.923423 599990.829587 615461.389737 631418.185764 647766.460984 664428.980901 681707.242967 699335.279084 717381.485417 327399.041292 327399.041292 327399.041292 327399.041292 327399.041292 327399.041292 327399.041292 327399.041292 327399.041292 327399.041292 327399.041292 327399.041292 327399.041292 327399.041292 327399.041292 327399.041292 327399.041292 327399.041292 327399.041292 327399.041292],matlab_r2025a;octave_agrees,yes
contingency,[1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25],matlab_r2025a;octave_agrees,yes
conv.earth_frac,0.05,matlab_r2025a;octave_agrees,yes
conv.maint_frac_yr,0.005,matlab_r2025a;octave_agrees,yes
conv.mass_per_km,100000,matlab_r2025a;octave_agrees,yes
cost_launch,[317.694 255 255 265.683 255 255 265.683 707.511 300 373.683 409.215 419.898 405.732 419.898 409.215 329.898 340.581 351.264 340.581 1248.3057 352.97247 342.27624 626.42901 612.24978 352.91955 1142.703792 1248.333057 6869.145186 45635.63346 285.705 290.98971 279.27522 278.15013 281.34504 269.63055 550.35846 7144.416531 7010.693388 7613.914725 7283.78613 6575.597865 6179.31650677 7448.4129343 8401.23471725 9756.28587871 5171.24026352 4192.37578132 4646.81850587 4978.89511497 5290.88453181 5584.71503906 5812.73235333 5974.72156712 6161.8488616 6093.82072755 5846.9742807 6864.05692539 7911.31090905 9150.18472421 10673.5812587 12425.8326242 10832.6107181 12065.3653976 13622.3805189 15092.9554678 16991.8140781 18952.5718132 21208.0302216 23719.0533635 26527.8902895 30009.1889893 33233.5001347 37153.3027068 41580.3569783 46578.0328234 52043.5854461 58256.4110104 65147.3855221 72932.1289107 81616.3092841 91416.0408993 43592.7888861 45612.7532104 47653.6429674 49812.4151726 52207.9761861 54396.2070966 56907.6947912 59435.7788652 62181.6679319 64983.2807375 67726.3957149 70678.517295 73707.5677106 76942.1955535 80296.6229189 84915.4827764 88636.7165638 92480.2812003 96509.854732 100691.705671 83716.549909 86709.7729665 89716.3133901 92914.2574054 96320.4007877 94616.4217394 92941.9894714 90899.0550529 88683.6946539 86158.3400276 83371.7784787 80253.1505992 76804.20728 73047.9958311 69003.6030504 71332.5299745 73894.9615492 76469.8583903 79131.2149122 81958.8802236 84852.3655347 87842.4741322 90925.2835628 94125.9321108 97657.903108 97766.4545887 98080.5624953 98206.2470383 98217.0925203 98187.773521 97941.6730874 97601.8731209 97107.3141825 96453.3692523 95625.3155008 99020.5231816 102530.590781 106119.339764 109833.518974 113784.722647 87031.5567048 88833.0130602 90632.7240541 92471.4649228 94385.8875143 96334.6412682 98285.103329 100316.598164 102346.393812 104450.869236 106602.722694 108756.67621 110993.43223 113277.098048 115602.638546 117934.51996 120356.007184 122859.634712 125333.043325 127942.755088 147307.455535 151144.095483 155041.931601 159024.808054 163195.877565 167386.548594 171684.442857 176169.160295 180725.209893 185356.40864 190177.235214 195125.173386 200152.882975 205312.209234 210635.978191 216089.985486 221645.300498 227411.806048 233291.935883 239310.803488 111210.930624 111210.930624 111210.930624 111210.930624 111210.930624 111210.930624 111210.930624 111210.930624 111210.930624 111210.930624 111210.930624 111210.930624 111210.930624 111210.930624 111210.930624 111210.930624 111210.930624 111210.930624 111210.930624 111210.930624],matlab_r2025a;octave_agrees,yes
cost_rd,[500 500 500 500 500 500 500 500 500 500 500 500 500 500 500 500 500 500 500 500 500 500 500 500 500 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000],matlab_r2025a;octave_agrees,yes
cost_total,[817.694 755 755 765.683 755 755 765.683 1207.511 800 873.683 909.215 919.898 905.732 919.898 909.215 829.898 840.581 851.264 840.581 1748.3057 852.97247 842.27624 1126.42901 1112.24978 852.91955 2142.703792 2248.5134545 7871.502751 46659.821905 1285.705 1290.98971 1279.27522 1278.15013 1281.34504 1269.63055 1550.35846 8168.3653735 8042.256118 8657.4883525 8340.813835 7650.4147525 7281.65398194 8583.26348202 9576.97276208 10985.644737 6970.39622245 5970.88165219 6486.80018499 6893.57214761 7294.55750686 7697.34412693 8054.03193987 8370.77931539 8745.54876715 8901.31907846 8922.44255265 10209.250847 11568.80999 13176.788518 15127.4471006 17946.6444772 15897.6503344 17511.553792 19496.8874432 21449.0211116 23955.0394981 26466.6117324 29406.422624 32687.6301509 36365.0422573 40823.8354451 45145.1273161 50302.8768287 56120.2258074 62683.2925056 69909.5166626 78104.551379 87226.492562 97521.2759132 109026.245868 121943.645441 58497.7971385 61156.9662908 63875.0053618 66739.6327358 70113.1906646 73047.7030071 76379.8457954 79764.8834409 83417.3169405 87163.4477486 90902.18575 94899.7550606 99022.1032971 103411.737831 107971.26392 112110.912848 116999.471444 122067.333166 127373.803123 132898.357767 109565.076586 113388.882383 117254.827485 121343.968088 126236.414113 125425.102335 124738.444372 123718.312754 122561.271848 121132.439474 119480.860427 117538.709817 115305.246555 112806.406304 109996.076937 113674.945701 117635.169245 121653.681672 125815.062455 130191.787142 134691.456388 139342.647816 144144.349253 149127.473626 155300.634609 157319.685931 159609.177146 161780.549941 163910.554408 166071.759914 168095.707133 170106.176406 172045.180233 173906.060347 175689.970775 181779.939484 188088.193673 194566.776478 201275.88156 208330.243984 145279.775337 148200.529864 151144.848573 154150.748019 157255.056507 160421.641851 163610.336232 166908.289104 170230.184934 173652.506497 177150.825939 180674.68544 184315.14307 188026.173401 191810.664155 195630.596154 199574.228636 203624.468782 207681.351368 211906.89885 254519.65998 261042.355646 267689.102525 274496.447893 281565.715213 288725.997104 296070.416948 303684.086156 311444.435246 319370.727754 327565.262144 335973.760783 344556.802625 353361.646141 362424.267597 371710.856953 381203.218194 391006.613459 401029.196746 411294.007164 114733.743124 114733.743124 114733.743124 114733.743124 114733.743124 114733.743124 114733.743124 114733.743124 114733.743124 114733.743124 114733.743124 114733.743124 114733.743124 114733.743124 114733.743124 114733.743124 114733.743124 114733.743124 114733.743124 114733.743124],matlab_r2025a;octave_agrees,yes
